DATE,MSRSKY448
2019-01-01,12.6
2019-02-01,-6.0
2019-03-01,-0.4
2019-04-01,5.9
2019-05-01,-1.5
2019-06-01,4.4
2019-07-01,-1.6
2019-08-01,4.0
2019-09-01,3.6
2019-10-01,0.8
2019-11-01,1.2
2019-12-01,5.6
2020-01-01,12.3
2020-02-01,5.6
2020-03-01,-49.1
2020-04-01,.
2020-05-01,.
2020-06-01,-7.7
2020-07-01,-18.3
2020-08-01,-13.0
2020-09-01,-1.1
2020-10-01,-8.8
2020-11-01,-22.5
2020-12-01,-7.8
2021-01-01,-5.6
2021-02-01,-18.8
2021-03-01,117.5
2021-04-01,.
2021-05-01,52.8
2021-06-01,20.8
2021-07-01,34.0
2021-08-01,22.8
2021-09-01,13.7
2021-10-01,22.5
2021-11-01,41.1
2021-12-01,18.9
2022-01-01,5.3
