DATE,MSRSKY447
2019-01-01,-7.0
2019-02-01,-3.8
2019-03-01,-0.5
2019-04-01,7.0
2019-05-01,-0.3
2019-06-01,-0.4
2019-07-01,1.1
2019-08-01,-2.9
2019-09-01,-2.4
2019-10-01,-3.3
2019-11-01,1.7
2019-12-01,9.4
2020-01-01,10.5
2020-02-01,4.9
2020-03-01,-17.8
2020-04-01,-38.6
2020-05-01,-29.7
2020-06-01,-19.8
2020-07-01,-16.3
2020-08-01,-16.5
2020-09-01,-17.9
2020-10-01,-18.4
2020-11-01,-16.8
2020-12-01,-8.7
2021-01-01,-5.2
2021-02-01,-1.4
2021-03-01,35.0
2021-04-01,98.2
2021-05-01,54.2
2021-06-01,46.9
2021-07-01,36.6
2021-08-01,40.3
2021-09-01,47.8
2021-10-01,54.4
2021-11-01,54.5
2021-12-01,42.2
2022-01-01,32.2
