Kentucky, Average Temperature,
Units: Degrees Fahrenheit,,
Base Period: 2019-2022,,
Missing: -99,,
Date,Value,Anomaly
201901,35.1,-0.5
201902,42.3,4.2
201903,43.1,-5.2
201904,57.8,2.8
201905,68.4,4.1
201906,71.9,-0.7
201907,77.4,0.1
201908,75.6,-0.1
201909,74.8,4.1
201910,60,-0.1
201911,41.2,-3.6
201912,42.1,-0.2
202001,40.2,4.6
202002,39.7,1.6
202003,51.4,3.1
202004,52.8,-2.2
202005,62.2,-2.1
202006,72.6,0
202007,78.7,1.4
202008,74.8,-0.9
202009,68.3,-2.4
202010,57.8,-2.3
202011,49.9,5.1
202012,37.3,-5
202101,35.7,0.1
202102,32.3,-5.8
202103,50.5,2.2
202104,54.5,-0.5
202105,62.4,-1.9
202106,73.4,0.8
202107,75.9,-1.4
202108,76.6,0.9
202109,68.9,-1.8
202110,62.5,2.4
202111,43.4,-1.4
202112,47.6,5.3
202201,31.2,-4.4
